Country,ISO3,CPI score 2019,Rank,standard error ,Number of sources,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,87,1,2.54,8,,97,,90,,83,94,,93,77,,79,86
New Zealand,NZL,87,1,2.29,8,,97,,90,,83,83,,93,77,,89,82
Finland,FIN,86,3,2.92,8,,88,,72,,83,94,,93,75,,93,87
Singapore,SGP,85,4,2.05,9,,,73,90,,83,91,89,85,77,,89,85
Sweden,SWE,85,4,1.98,8,,88,,90,,83,84,,93,78,,77,87
Switzerland,CHE,85,4,1.58,7,,88,,90,,83,88,,85,77,,83,
Norway,NOR,84,7,1.65,7,,79,,90,,83,81,,86,78,,,88
Netherlands,NLD,82,8,2.25,8,,70,,90,,83,89,,85,77,,81,83
Germany,DEU,80,9,3.31,8,,79,,90,,83,91,,85,77,,61,78
Luxembourg,LUX,80,9,1.95,7,,79,,72,,83,81,,85,75,,86,
Iceland,ISL,78,11,4.63,7,,53,,72,,83,87,,85,77,,87,
Australia,AUS,77,12,1.32,9,,79,,72,,71,81,83,76,76,,76,78
Austria,AUT,77,12,1.57,8,,79,,72,,71,85,,76,75,,78,80
Canada,CAN,77,12,2.80,8,,79,,90,,71,74,,85,77,,64,79
United Kingdom,GBR,77,12,3.34,8,,79,,90,,71,79,,85,76,,58,80
Hong Kong,HKG,76,16,3.15,8,,,,90,,71,82,61,76,72,,84,73
Belgium,BEL,75,17,1.09,7,,79,,72,,71,74,,76,77,,,76
Estonia,EST,74,18,1.21,10,,79,77,72,77,71,69,,67,75,,74,75
Ireland,IRL,74,18,3.61,7,,79,,55,,71,84,,76,76,,79,
Japan,JPN,73,20,3.51,9,,53,,72,,71,73,80,67,73,,92,79
United Arab Emirates,ARE,71,21,5.13,8,,,57,72,,47,89,,67,71,,89,74
Uruguay,URY,71,21,2.47,7,,,77,72,,59,,,76,76,,66,72
France,FRA,69,23,2.28,8,,70,,72,,71,78,,67,71,,55,70
United States of America,USA,69,23,4.12,9,,70,,90,,71,74,48,76,71,,53,72
Bhutan,BTN,68,25,2.76,4,,,69,,,71,,,,72,60,,
Chile,CHL,67,26,2.55,9,,62,77,72,,59,54,,67,75,,69,64
Seychelles,SYC,66,27,3.40,4,,,,72,,71,,,,64,,57,
Taiwan,TWN,65,28,3.03,8,,,77,55,,71,67,55,59,62,,73,
Bahamas,BHS,64,29,5.83,3,,,,,,59,,,76,,,,58
Barbados,BRB,62,30,6.06,4,,,,,,71,,,,72,,46,61
Portugal,PRT,62,30,2.82,8,,70,,55,,59,51,,67,70,,54,67
Qatar,QAT,62,30,8.00,7,,,41,72,,47,82,,59,38,,92,
Spain,ESP,62,30,3.17,8,,70,,55,,59,49,,59,75,,57,69
Botswana,BWA,61,34,3.73,7,,,61,72,,71,,,54,67,,45,57
Brunei Darussalam,BRN,60,35,6.12,3,,,,,,71,,,50,,,60,
Israel,ISR,60,35,1.99,7,,62,,55,,59,54,,59,67,,66,
Lithuania,LTU,60,35,2.32,9,,62,73,55,62,59,53,,50,66,,58,
Slovenia,SVN,60,35,2.28,10,,62,65,55,71,71,51,,59,62,,51,58
"Korea, South",KOR,59,39,2.44,10,,62,61,55,,59,55,47,54,71,,54,72
Saint Vincent and the Grenadines,VCT,59,39,4.14,3,,,,,,59,,,,,52,,66
Cabo Verde,CPV,58,41,4.30,4,,,,,,59,,,,67,60,47,
Cyprus,CYP,58,41,3.41,7,,44,,72,,59,51,,59,64,,58,
Poland,POL,58,41,1.85,10,,53,57,55,62,59,60,,51,69,,53,65
Costa Rica,CRI,56,44,3.97,7,,,69,55,,47,,,41,66,,50,63
Czech Republic,CZE,56,44,1.87,10,,62,57,55,62,59,48,,47,61,,48,59
