RefId;IsBadBuy;PurchDate;Auction;VehicleAge;Make;Model;Trim;SubModel;Color;Transmission;WheelTypeID;VehOdo;Nationality;Size;TopThreeAmericanName;MMRAcquisitionAuctionAveragePrice;MMRAcquisitionAuctionCleanPrice;MMRAcquisitionRetailAveragePrice;MMRAcquisitonRetailCleanPrice;MMRCurrentAuctionAveragePrice;MMRCurrentAuctionCleanPrice;MMRCurrentRetailAveragePrice;MMRCurrentRetailCleanPrice;VehBCost;WarrantyCost;State|ZIPC
42116;0;1/27/2010;OTHER;4;FORD;MUSTANG V6;Bas;2D COUPE;BLACK;MANUAL;1;73815;AMERICAN;SPORTS;FORD;88400;102710;127170;145980;92260;106190;129400;141600;77000;803;NC|27407
5554;0;9/3/2009;MANHEIM;5;DODGE;STRATUS V6;ES;4D SEDAN;WHITE;AUTO;1;74213;AMERICAN;MEDIUM;CHRYSLER;28520;39660;35800;47830;28040;40200;35280;48420;57000;1389;AZ|85040
25195;0;1/21/2010;OTHER;6;HYUNDAI;TIBURON;Bas;2D COUPE;BLUE;MANUAL;1;77980;OTHER ASIAN;SPORTS;OTHER;40540;52980;78470;87260;46020;62540;76540;92860;51550;920;CO|80229
51232;0;3/18/2009;MANHEIM;5;CHEVROLET;TRAILBLAZER 2WD 6C 4;Nor;4D SUV 4.2L LT;GREEN;AUTO;1;77819;AMERICAN;MEDIUM SUV;GM;65430;75240;75660;86260;61650;72950;71580;83790;67850;1155;CO|80011
26309;1;12/22/2010;OTHER;6;FORD;EXPLORER 2WD V6;XLS;4D SUV 4.0L FFV XLS;WHITE;AUTO;1;79600;AMERICAN;MEDIUM SUV;FORD;48030;60170;85830;98660;39800;52070;77190;88200;57000;1155;SC|29697
44763;0;1/18/2010;OTHER;2;CHEVROLET;IMPALA V6;LS;4D SEDAN LS 3.5L FFV;BLUE;AUTO;2;86797;AMERICAN;LARGE;GM;79730;92750;114590;133600;84510;96000;123120;138330;80000;2152;TX|76063
60191;0;7/10/2009;ADESA;7;CHRYSLER;PT CRUISER 2.4L I4 M;Lim;4D SEDAN LIMITED;MAROON;AUTO;1;84893;AMERICAN;MEDIUM;CHRYSLER;33220;42860;40880;51290;32030;41800;39590;50140;49700;1803;TN|37771
56467;0;6/15/2010;OTHER;4;DODGE;DURANGO 2WD V6;SXT;4D SUV 3.7L;SILVER;AUTO;1;75652;AMERICAN;MEDIUM SUV;CHRYSLER;95740;110140;141260;150090;90560;109870;138630;150850;97500;1272;SC|29070
65666;0;3/19/2009;MANHEIM;7;BUICK;CENTURY V6 3.1L V6 S;Cus;4D SEDAN CUSTOM;SILVER;AUTO;2;65179;AMERICAN;MEDIUM;GM;36280;45410;44180;54040;69500;81920;80060;93470;49100;2003;FL|33411
24089;0;4/15/2009;OTHER;3;DODGE;MAGNUM V6 2.7L V6 MP;SE;WAGON 2.7L;WHITE;AUTO;2;66004;AMERICAN;SPECIALTY;CHRYSLER;75000;87400;86000;99390;75000;87400;86000;99390;85000;1215;SC|29697
55160;0;8/3/2010;MANHEIM;5;KIA;SPECTRA 5;SX;4D SEDAN EX;BLACK;AUTO;1;83874;OTHER ASIAN;MEDIUM;OTHER;40970;52710;70560;83790;37580;49940;67060;85510;71700;594;OR|97217
25225;1;2/25/2010;OTHER;4;HYUNDAI;SONATA V6;GLS;4D SEDAN GLS;BLUE;AUTO;1;64569;OTHER ASIAN;MEDIUM;OTHER;69100;82910;103350;118070;69100;82910;103350;118070;70250;728;CO|80229
57368;1;3/2/2010;OTHER;4;CHEVROLET;HHR;LT;4D SUV 2.2L LT;BEIGE;AUTO;2;71412;AMERICAN;MEDIUM;GM;68790;80690;111250;131110;68790;80690;111250;131110;69000;803;IN|46239
42852;0;3/25/2009;MANHEIM;4;FORD;TAURUS 3.0L V6 EFI;SE;4D SEDAN SE;RED;AUTO;2;85788;AMERICAN;MEDIUM;FORD;40210;49380;48430;58330;38970;49030;47090;57950;40000;983;FL|32124
9057;0;2/16/2009;MANHEIM;6;TOYOTA;CAMRY 4C 2.4L I-4 EF;LE;4D SEDAN LE;WHITE;AUTO;2;82622;TOP LINE ASIAN;MEDIUM;OTHER;62850;68690;72880;79190;62430;74860;72420;85850;76000;894;NC|27542
63995;0;10/21/2009;ADESA;3;FORD;FREESTAR FWD V6 3.9L;SE;PASSENGER 3.9L LX;GOLD;AUTO;1;71005;AMERICAN;VAN;FORD;61460;73140;71380;83990;62110;87910;101000;130320;66550;1506;AZ|85226
65490;0;7/15/2009;MANHEIM;4;DODGE;DURANGO 4WD V8 4.7L;SLT;4D SUV 4.7L;WHITE;AUTO;1;73107;AMERICAN;MEDIUM SUV;CHRYSLER;91160;111100;103450;124990;90940;109210;103220;122950;95000;1623;UT|84087
17892;0;4/2/2010;OTHER;4;CHEVROLET;TRAILBLAZER 2WD 6C;LS;4D SUV 4.2L;BLUE;AUTO;1;74523;AMERICAN;MEDIUM SUV;GM;100220;117880;137670;157630;101520;118540;143490;160680;75250;1155;UT|84104
65176;0;1/28/2010;MANHEIM;4;CHEVROLET;COBALT;LS;4D SEDAN LS;BLUE;AUTO;2;66384;AMERICAN;COMPACT;GM;43680;53460;83000;92220;48360;58600;85490;96500;43950;728;TX|77061
19617;0;6/19/2009;OTHER;4;DODGE;STRATUS V6 2.7L V6 M;SXT;4D SEDAN SXT FFV;GREY;AUTO;2;45310;AMERICAN;MEDIUM;CHRYSLER;55690;65840;65150;76110;55690;65840;65150;76110;53000;975;CA|95673
6524;0;5/18/2010;MANHEIM;2;PONTIAC;G6 4C;Bas;4D SEDAN SE;BLUE;AUTO;2;59881;AMERICAN;MEDIUM;GM;86650;97900;120630;136300;84110;94710;125460;136690;89400;837;AZ|85040
24043;0;3/25/2009;OTHER;7;JEEP;GRAND CHEROKEE 2WD 6;Lar;4D WAGON LAREDO;GREY;AUTO;1;71537;AMERICAN;MEDIUM SUV;CHRYSLER;47790;56820;56610;66370;38810;48380;46910;57250;59000;2040;SC|29697
38252;0;8/6/2010;MANHEIM;5;DODGE;STRATUS V6;SXT;4D SEDAN SXT FFV;SILVER;AUTO;2;62443;AMERICAN;MEDIUM;CHRYSLER;55900;69600;88350;100860;57540;69340;91230;101840;55550;1215;NV|89165
48695;0;5/28/2010;MANHEIM;7;FORD;FOCUS;LX;4D SEDAN LX;SILVER;AUTO;2;91276;AMERICAN;COMPACT;FORD;26790;36870;54590;67400;24730;32910;57050;62500;54400;1641;PA|17545
47692;0;10/5/2010;MANHEIM;3;FORD;FIVE HUNDRED;SEL;4D SEDAN SEL;BLUE;AUTO;1;72601;AMERICAN;LARGE;FORD;76290;96870;118820;138190;71720;89430;112320;142860;79850;1506;TX|75050
